Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,7,4700,6768,0.6768,0.7230769230769231
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,8,800,1076,0.1076,0.12307692307692308
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,9,100,154,0.0154,0.015384615384615385
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,4,0,209,0.0209,0
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,5,0,93,0.0093,0
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,6,300,630,0.063,0.04477611940298507
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,7,4700,6831,0.6831,0.7014925373134329
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,8,1500,1912,0.1912,0.22388059701492538
51,"[9,4]",6,15.049999999999992,10,B,10000,6700,SEXO,9,200,325,0.0325,0.029850746268656716
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,4,0,62,0.0062,0
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,5,0,32,0.0032,0
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,6,100,203,0.0203,0.013888888888888888
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,7,4000,5759,0.5759,0.5555555555555556
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,8,2600,3371,0.3371,0.3611111111111111
100,"[9,4]",6,15.348999999999991,10,B,10000,7200,SEXO,9,500,573,0.0573,0.06944444444444445
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,4,0,12,0.0012,0
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,5,0,3,0.0003,0
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,6,0,21,0.0021,0
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,7,2700,3918,0.3918,0.36
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,8,4100,5165,0.5165,0.5466666666666666
53,"[9,4]",6,15.64799999999999,10,B,10000,7500,SEXO,9,700,881,0.0881,0.09333333333333334
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,7,1100,1651,0.1651,0.14102564102564102
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,8,5400,6866,0.6866,0.6923076923076923
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,9,1300,1463,0.1463,0.16666666666666666
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,10,0,15,0.0015,0
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,11,0,2,0.0002,0
54,"[12,7]",6,15.94699999999999,10,B,10000,7800,SEXO,12,0,3,0.0003,0
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,7,300,532,0.0532,0.0375
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,8,5100,6466,0.6466,0.6375
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,9,2500,2796,0.2796,0.3125
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,10,100,127,0.0127,0.0125
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,11,0,24,0.0024,0
55,"[12,7]",6,16.24599999999999,10,B,10000,8000,SEXO,12,0,55,0.0055,0
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,7,0,40,0.004,0
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,8,3800,4840,0.484,0.4578313253012048
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,9,4000,4539,0.4539,0.4819277108433735
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,10,300,321,0.0321,0.03614457831325301
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,11,0,66,0.0066,0
56,"[12,7]",6,16.54499999999999,10,B,10000,8300,SEXO,12,200,194,0.0194,0.024096385542168676
57,"[12,8]",5,16.84399999999999,10,B,10000,8700,PENT,8,2200,2793,0.2793,0.25287356321839083
57,"[12,8]",5,16.84399999999999,10,B,10000,8700,PENT,9,5400,6042,0.6042,0.6206896551724138
57,"[12,8]",5,16.84399999999999,10,B,10000,8700,PENT,10,600,672,0.0672,0.06896551724137931
57,"[12,8]",5,16.84399999999999,10,B,10000,8700,PENT,11,100,122,0.0122,0.011494252873563218
57,"[12,8]",5,16.84399999999999,10,B,10000,8700,PENT,12,400,371,0.0371,0.04597701149425287
58,"[12,8]",5,17.14299999999999,10,B,10000,8900,PENT,8,1000,1338,0.1338,0.11235955056179775
58,"[12,8]",5,17.14299999999999,10,B,10000,8900,PENT,9,5700,6414,0.6414,0.6404494382022472
58,"[12,8]",5,17.14299999999999,10,B,10000,8900,PENT,10,1400,1467,0.1467,0.15730337078651685
58,"[12,8]",5,17.14299999999999,10,B,10000,8900,PENT,11,200,198,0.0198,0.02247191011235955
58,"[12,8]",5,17.14299999999999,10,B,10000,8900,PENT,12,600,583,0.0583,0.06741573033707865
59,"[12,8]",5,17.44199999999999,10,B,10000,9300,PENT,8,300,418,0.0418,0.03225806451612903
59,"[12,8]",5,17.44199999999999,10,B,10000,9300,PENT,9,5000,5628,0.5628,0.5376344086021505
59,"[12,8]",5,17.44199999999999,10,B,10000,9300,PENT,10,2700,2746,0.2746,0.2903225806451613
59,"[12,8]",5,17.44199999999999,10,B,10000,9300,PENT,11,300,334,0.0334,0.03225806451612903
59,"[12,8]",5,17.44199999999999,10,B,10000,9300,PENT,12,1000,874,0.0874,0.10752688172043011
60,"[12,8]",5,17.74099999999999,10,B,10000,9600,PENT,8,0,74,0.0074,0
60,"[12,8]",5,17.74099999999999,10,B,10000,9600,PENT,9,3500,3961,0.3961,0.3645833333333333
60,"[12,8]",5,17.74099999999999,10,B,10000,9600,PENT,10,4200,4271,0.4271,0.4375
60,"[12,8]",5,17.74099999999999,10,B,10000,9600,PENT,11,400,426,0.0426,0.041666666666666664
60,"[12,8]",5,17.74099999999999,10,B,10000,9600,PENT,12,1500,1268,0.1268,0.15625
61,"[12,9]",4,18.03999999999999,10,B,10000,10100,QUAD,9,1700,1905,0.1905,0.16831683168316833
61,"[12,9]",4,18.03999999999999,10,B,10000,10100,QUAD,10,5600,5629,0.5629,0.5544554455445545
61,"[12,9]",4,18.03999999999999,10,B,10000,10100,QUAD,11,800,799,0.0799,0.07920792079207921
61,"[12,9]",4,18.03999999999999,10,B,10000,10100,QUAD,12,2000,1667,0.1667,0.19801980198019803
62,"[12,9]",4,18.338999999999988,10,B,10000,10400,QUAD,9,1000,1125,0.1125,0.09615384615384616
62,"[12,9]",4,18.338999999999988,10,B,10000,10400,QUAD,10,4300,4366,0.4366,0.41346153846153844
62,"[12,9]",4,18.338999999999988,10,B,10000,10400,QUAD,11,2300,2155,0.2155,0.22115384615384615
62,"[12,9]",4,18.338999999999988,10,B,10000,10400,QUAD,12,2800,2354,0.2354,0.2692307692307692
63,"[13,9]",5,18.637999999999987,10,B,10000,10600,PENT,9,600,749,0.0749,0.05660377358490566
63,"[13,9]",5,18.637999999999987,10,B,10000,10600,PENT,10,3200,3246,0.3246,0.3018867924528302
63,"[13,9]",5,18.637999999999987,10,B,10000,10600,PENT,11,2600,2406,0.2406,0.24528301886792453
